ch,name,cat,lang,status,reason,wifi_outcome,wifi_ttff_ms,wifi_code,wifi_phase,wifi_manifest_ms,wifi_segment_ms,wifi_adv_s,4g_outcome,4g_ttff_ms,4g_code,4g_phase,4g_manifest_ms,4g_segment_ms,4g_adv_s,3g_outcome,3g_ttff_ms,3g_code,3g_phase,3g_manifest_ms,3g_segment_ms,3g_adv_s,2g_outcome,2g_ttff_ms,2g_code,2g_phase,2g_manifest_ms,2g_segment_ms,2g_adv_s,host,variants,lowest_kbps,seg_kb,segdur_s,url
237,VIP News,News,Hindi,heavy-2g,Fails only on 2g,ok,2166,,frame,925,2080,2.5,ok,4333,,frame,783,4282,2.5,ok,7017,,frame,974,6951,2.5,error,,timeout_frame,segment,795,,,live.vipnews24x7.co.in,1,1278,898,6.0,https://live.vipnews24x7.co.in/vipnews24x7/d0dbe915091d400bd8ee7f27f0791303.sdp/playlist.m3u8
238,Vyas NIC,Education,Hindi,heavy-2g,Fails only on 2g,ok,947,,frame,102,244,2.5,ok,1314,,frame,134,1255,1.6,ok,2676,,frame,191,2631,2.5,error,,timeout_frame,segment,512,,,playhls.media.nic.in,2,392,1385,10.5,https://playhls.media.nic.in/hls/live/vyas/vyas.m3u8
239,Weatherspy,Weather,English,heavy-2g,Fails only on 2g,ok,2547,,frame,556,1647,2.5,ok,3930,,frame,826,3829,2.5,ok,5739,,frame,716,5620,2.5,error,,timeout_frame,segment,728,,,jukin-weatherspy-2-in.samsung.wurl.tv,3,922,426,5.9,https://jukin-weatherspy-2-in.samsung.wurl.tv/playlist.m3u8
240,Win TV,Undefined,Hindi,ok,Plays everywhere tested,ok,911,,frame,136,405,2.5,ok,1282,,frame,93,828,2.5,ok,2655,,frame,271,2028,2.5,ok,7352,,frame,520,5602,2.5,cdn-4.pishow.tv,2,691,1003,4.0,https://cdn-4.pishow.tv/live/1531/master.m3u8
241,YRF Music,Music,Hindi,ok,Plays everywhere tested,ok,1820,,frame,815,1180,2.5,ok,1608,,frame,562,1552,2.5,ok,2281,,frame,589,2236,2.5,ok,5769,,frame,1004,5727,2.5,cdn-uw2-prod.tsv2.amagi.tv,6,498,2719,3.7,https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg01412-xiaomiasia-yrfmusic-xiaomi/playlist.m3u8
242,Zainabia Channel,Devotional,Urdu,heavy,Plays on fast links only (fails on 3g),ok,934,,frame,187,789,2.5,ok,6255,,frame,223,6103,2.5,error,,timeout_frame,segment,350,,,error,,timeout_frame,segment,598,,,zainabia.livebox.co.in,0,,2801,8.3,https://zainabia.livebox.co.in/ZainabiaChannelhls/channel.m3u8
243,Zee 24 Kalak,News,Hindi,heavy-2g,Fails only on 2g,ok,483,,frame,255,376,2.5,ok,2433,,frame,228,2292,2.5,ok,5707,,frame,249,5642,2.5,error,,timeout_frame,segment,562,,,vg-zeefta.akamaized.net,0,,1125,4.0,https://vg-zeefta.akamaized.net/ptnr-yupptv/title-zee24kalak/v1/manifest/611d79b11b77e2f571934fd80ca1413453772ac7/497f7199-758d-495d-9d2f-a5489231c428/14b7c8ec-16da-47f2-8d7e-5bbaec67b3e2/3.m3u8
245,Zee Delhi NCR Haryana,News,Hindi,ok,Plays everywhere tested,ok,990,,frame,295,594,2.5,ok,1219,,frame,401,1165,2.5,ok,2043,,frame,336,1968,2.5,ok,5114,,frame,537,5048,2.5,vg-zeefta.akamaized.net,4,364,213,4.0,https://vg-zeefta.akamaized.net/ptnr-yupptv/title-zeedelhincr/v1/master/611d79b11b77e2f571934fd80ca1413453772ac7/cc483a15-1b39-4642-872d-5d08d362ed01/main.m3u8
246,Zee Madhya Pradesh Chhattisgarh,News,Hindi,ok,Plays everywhere tested,ok,1344,,frame,405,648,2.5,ok,1210,,frame,298,1124,2.5,ok,1875,,frame,260,1790,2.4,ok,4760,,frame,513,4715,2.5,vg-zeefta.akamaized.net,4,364,222,4.0,https://vg-zeefta.akamaized.net/ptnr-yupptv/title-zeemadhyachhattisgarh/v1/master/611d79b11b77e2f571934fd80ca1413453772ac7/2ab17056-6187-4f0e-a34d-f436ac479d6c/main.m3u8
247,Zee Punjab Haryana Himachal,News,Punjabi,ok,Plays everywhere tested,ok,932,,frame,292,525,2.5,ok,1097,,frame,327,1035,2.4,ok,1966,,frame,357,1902,2.5,ok,4921,,frame,429,4865,2.4,vg-zeefta.akamaized.net,4,364,204,4.0,https://vg-zeefta.akamaized.net/ptnr-yupptv/title-zeepunjabharyanahima/v1/master/611d79b11b77e2f571934fd80ca1413453772ac7/65eed269-2f3a-4dd0-ac89-d18959af28e3/main.m3u8
